Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
"Bahamas, The",BHS,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,17.93771846,11.38234459,10.89247556,17.52998001,14.75756316,21.52484966,23.32057956,14.92004264,18.45240496,18.31884311,18.75765277,,20.69717445,20.13296806,15.4046846,19.91805445,17.80166014,17.13846351,28.07583719,32.30664019,29.53124393,28.37250517,34.40053195,33.2623134,29.4480923,32.80241511,31.74781794,33.21920536,30.39699558,27.17983768,28.41353495,26.78543145,25.73877694,24.00693246,21.06224547,21.48418142,21.22025269,21.09962433,21.97186381,23.21153292,17.5380231,16.02723684,21.2178959,12.19126325,7.944876191,,
Bosnia and Herzegovina,BIH,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.5194854,8.200647546,6.100334906,3.512656747,11.80393378,7.52925991,10.5243475,12.89730131,11.04221247,9.12823971,8.510086608,7.925974871,6.592946692,8.544586752,9.475566339,11.72034505,13.56615579,15.62445476,18.06719701,19.10592565,16.78598694,20.93002694,,
Belarus,BLR,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.67526369,20.13760311,20.87196117,20.14876644,23.06185575,22.87810615,22.78082944,24.51345682,21.79387121,20.6784902,22.84498448,26.92036792,27.90442812,29.65043803,29.4012502,30.90278944,26.62295617,27.41223589,33.08744262,31.95168087,29.47206709,28.31879472,30.18820683,27.70978955,29.11049775,30.28208792,28.71854926,28.50868329,30.37344085,,
Belize,BLZ,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,48.50460314,46.22371777,50.18711279,51.62505357,48.68572294,49.01484446,63.59438493,61.8385346,36.98327316,38.01624684,33.83181607,33.93227308,31.7200872,25.14608418,23.29176475,23.83902837,28.82979911,21.89688226,20.06293597,18.27876836,20.1660296,23.33089229,29.55134444,29.14243108,27.71231476,27.91093821,25.8952063,27.43604225,25.80657531,23.36148629,23.78079433,25.42533561,26.17213217,23.69626149,21.24036227,21.84260656,28.43453351,27.12059239,,
Bermuda,BMU,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.66427629,36.02846742,37.72971246,38.28113154,38.18172612,38.56117832,38.23437078,38.88774368,39.07394486,37.93033381,38.14963533,40.37100244,,
Bolivia,BOL,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,16.52178515,14.9837593,15.33419129,15.27465504,15.06843143,11.24510697,9.319998969,13.65995732,13.03438761,10.91832684,4.090405676,5.126394675,7.207968505,9.114529437,10.0597664,9.314953398,8.788385737,8.089200691,10.52055433,11.52328236,12.41875138,12.90204378,13.07164873,10.91596712,11.31903741,11.55593707,12.62394405,15.04772048,17.82843137,20.69828009,27.53745388,29.74568701,29.94657594,23.82572185,26.02658804,27.44649801,27.33862128,25.47619041,21.91732744,14.71966482,15.7073918,16.54653759,16.52804978,14.49112528,12.62600806,14.23309084,,
Brazil,BRA,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,21.83711367,19.52124571,20.11643795,19.95870114,18.52160821,18.47511108,19.44342755,16.12051479,14.14234256,16.70761099,20.17987226,17.92884177,22.6733268,24.94383343,33.98879921,19.47036856,19.16230688,20.58673833,20.75974657,19.87901334,14.64392961,14.23166754,13.94123261,14.18341422,13.14193896,14.40658627,14.0507979,15.94065691,16.95603556,19.42902088,18.65330223,18.88231882,19.76621758,19.71015148,16.75102009,18.36984596,19.09186755,18.13047271,18.40746649,16.44077022,14.80798781,13.71267225,13.83644318,13.07087306,12.58877826,14.98470903,17.93182167,,
Barbados,BRB,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,29.04876262,27.20875061,32.06916068,31.81846221,15.63765803,14.01884072,14.72609906,13.46764143,15.47160458,9.319193656,10.92786523,10.02853171,12.7322978,11.60719715,10.99385405,8.80937205,9.900850949,12.36276487,8.4102322,4.016313939,8.687067814,14.14187949,8.680591805,7.560840455,6.853358952,2.260563476,4.761074387,5.642427672,4.9481372,5.490228417,3.153555827,5.608176111,,,,,,
Brunei Darussalam,BRN,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.50732308,45.70216336,47.13399119,46.89047172,55.18984482,58.59415931,53.93686436,62.39275827,48.45739919,60.59451525,65.5468265,64.45159644,60.95480573,59.76628284,54.38210208,52.56232237,52.23374384,52.8780682,52.15525412,49.41940912,49.43821502,,
Bhutan,BTN,Adjusted savings: gross savings (% of GNI),NY.ADJ.ICTR.GN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.03776749,27.18745723,35.61110979,32.20812432,36.70115897,43.37484135,52.90770514,26.91269667,32.30949545,25.19521158,34.0991666,32.42267209,26.67512307,23.48810471,18.77233111,14.31131765,,
